,banglaname,banglishnames
0,বালাসরস্বতী,Balasaraswati
1,আহমেদ বেন বেল্লা,Ahmed Ben Bella
2,দেবীপ্রসাদ চট্টোপাধ্যায়,Debiprasad Chattopadhyaya
3,আন্না মনি,Anna Mani
4,অমিয়ভূষণ মজুমদার,Amiya Bhushan Majumdar
5,অ্যান শার্লি,Anne Shirley
6,অ্যামোস এডওয়ার্ড জোয়েল,Amos E. Joel Jr.
7,অ্যালেনবি চিল্টন,Allenby Chilton
8,আজিজুর রহমান মল্লিক,A R Mallick
9,আনোয়ার সাদাত,Anwar Sadat
10,আবদুর রহিম,Abdur Rahim
11,আবদুল হক,Abdul Haque
12,আবুল কালাম মোহাম্মদ যাকারিয়া,Abul Kalam Mohammed Zakaria
13,কার্মেন আমায়া,Carmen Amaya
14,আর্থার কর্ণবার্গ,Arthur Kornberg
15,শওকত আলী,Shawkat Ali
16,আলেক্সান্দ্র্‌ সলজেনিৎসিন,Aleksandr Solzhenitsyn
17,আহমেদ দিদাত,Ahmed Deedat
18,জ্যাক ইকিন,Jack Ikin
19,ইগ্যাল এ্যালোন,Yigal Allon
20,ইনামুল হাসান কান্ধলভী,Inamul Hasan Kandhlawi
21,ইয়াসুহিরো নাকাসোনে,Yasuhiro Nakasone
22,এডওয়ার্ড বি লুইস,Edward B. Lewis
23,এডুইন জি ক্রেবস,Edwin G. Krebs
24,এর্নেস্তো তেওদরো মোনেতা,Ernesto Teodoro Moneta
25,ডেনিস কম্পটন,Denis Compton
26,কাজী আবুল মনসুর,Kazi Abul Monsur
27,কামাল আমরোহী,Kamal Amrohi
28,কার্ট ওয়াল্ডহেইম,Kurt Waldheim
29,আর্ট কার্নি,Art Carney
30,কেনিচি ফুকুই,Kenichi Fukui
31,বার্টি ক্লার্ক,Bertie Clarke
32,খন্দকার আবদুল হামিদ,Khondakar Abdul Hamid
33,খন্দকার মোশতাক আহমেদ,Khondaker Mostaq Ahmad
34,গুরু বিপিন সিংহ,Guru Bipin Singh
35,গোবিন্দাপ্পা ভেঙ্কটাস্বামী,Govindappa Venkataswamy
36,নিখিলজ্যোতি ঘোষ,Nikhil Ghosh
37,চারু মজুমদার,Charu Majumdar
38,চিত্রা জয়ন্ত নায়েক,Chitra Naik
39,জগন্ময় মিত্র,Jagmohan Sursagar
40,বেন জনসন,Ben Johnson
41,সরদার জয়েনউদ্দীন,Sarder Jayenuddin
42,সিকান্‌দার আবু জাফর,Sikandar Abu Zafar
43,জামাল আবদেল নাসের,Gamal Abdel Nasser
44,জায়েদ বিন সুলতান আল নাহিয়ান,Zayed bin Sultan Al Nahyan
45,জুলিয়ান শুইঙার,Julian Schwinger
46,রলি জেনকিন্স,Roly Jenkins
47,জেমস টোবিন,James Tobin
48,জোয়াও গোলাল্ট,João Goulart
49,জোহরাবাঈ আম্বালেওয়ালী,Zohrabai Ambalewali
50,ডেরেক হ্যারল্ড রিচার্ড বার্টন,Derek Barton
51,দৌলতুন্নেছা খাতুন,Daulatunnessa Khatun
52,নগুয়েন বিন,Nguyễn Bính
53,নারায়ণ গঙ্গোপাধ্যায়,Narayan Gangopadhyay
54,পি. এইচ. নিউবি,P. H. Newby
55,নিকোলাই চসেস্কু,Nicolae Ceaușescu
56,পরিতোষ সেন,Paritosh Sen
57,পল বয়ার,Paul D. Boyer
58,পীরু সিং,Piru Singh
59,রবার্ট প্রেস্টন,Robert Preston
60,ফররুখ আহমদ,Farrukh Ahmad
61,ফ্রেডরিক স্যাঙ্গার,Frederick Sanger
